,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
324,37,73.15129536097268,0.0,1.0,0.0,36.57564768048634,2,1.0
325,38,72.17791326924126,0.0,0.0,0.0,0.0,2,1.0
326,39,68.93066183125707,0.0,0.0,0.0,0.0,2,1.0
327,40,66.11694457748219,0.0,0.0,0.0,0.0,2,1.0
328,41,60.748418619976576,0.0,0.0,0.0,0.0,2,1.0
329,42,57.03670649797567,0.0,0.0,0.0,0.0,2,1.0
330,43,52.45951135652108,0.0,0.0,0.0,0.0,2,1.0
331,44,47.896367063165115,0.0,0.0,0.0,0.0,2,1.0
332,45,42.84136548186204,0.0,0.0,0.0,0.0,2,1.0
333,46,39.26490690791493,0.0,0.0,0.0,0.0,2,1.0
334,47,35.586438334208616,0.0,0.0,0.0,0.0,2,1.0
335,48,33.3381252567242,0.0,0.0,0.0,0.0,2,1.0
336,1,76.48193171996765,0.0,0.0,0.0,0.0,2,2.0
337,2,77.36440568923669,0.0,0.0,0.0,0.0,2,2.0
338,3,75.60947094779715,0.0,0.0,0.0,0.0,2,2.0
339,4,73.71148673248487,0.0,0.0,0.0,0.0,2,2.0
340,5,71.61622523961535,0.0,0.0,0.0,0.0,2,2.0
341,6,71.61622523961535,0.0,0.0,0.0,0.0,2,2.0
342,7,68.62499546446934,0.0,0.0,0.0,0.0,2,2.0
343,8,67.27911179777008,1.0,0.0,0.5,-33.63955589888504,2,2.0
344,9,65.29754754157437,1.0,0.0,1.0,-32.64877377078719,2,2.0
345,10,65.72769816981105,1.0,0.0,1.5,-32.863849084905524,2,2.0
346,11,65.58761318763906,1.0,0.0,2.0,-32.79380659381953,2,2.0
347,12,67.38360292409112,0.0,0.0,2.0,0.0,2,2.0
348,13,72.08157948395775,0.0,0.0,2.0,0.0,2,2.0
349,14,76.36091305352869,0.0,1.0,1.5,38.180456526764345,2,2.0
350,15,79.29366895048989,0.0,1.0,1.0,39.646834475244944,2,2.0
351,16,78.97659915751132,0.0,1.0,0.5,39.48829957875566,2,2.0
352,17,77.34719966410722,0.0,1.0,0.0,38.67359983205361,2,2.0
353,18,73.87717011157949,0.0,0.0,0.0,0.0,2,2.0
354,19,71.68583647143747,0.0,0.0,0.0,0.0,2,2.0
355,20,68.63930573330768,0.0,0.0,0.0,0.0,2,2.0
356,21,64.54324293862092,0.0,0.0,0.0,0.0,2,2.0
357,22,62.18628356843754,0.0,0.0,0.0,0.0,2,2.0
358,23,58.97797628320774,0.0,0.0,0.0,0.0,2,2.0
359,24,57.54340176532567,0.0,0.0,0.0,0.0,2,2.0
360,25,56.300885068408704,1.0,0.0,0.5,-28.150442534204352,2,2.0
361,26,56.30310233968827,0.0,0.0,0.5,0.0,2,2.0
362,27,54.8174640642377,1.0,0.0,1.0,-27.40873203211885,2,2.0
363,28,55.591291740807776,1.0,0.0,1.5,-27.795645870403888,2,2.0
364,29,55.41507854040647,1.0,0.0,2.0,-27.707539270203235,2,2.0
365,30,58.213274895224366,0.0,0.0,2.0,0.0,2,2.0
366,31,58.43239007761407,0.0,0.0,2.0,0.0,2,2.0
367,32,63.203957871249656,0.0,0.0,2.0,0.0,2,2.0
368,33,65.23627546703472,0.0,0.0,2.0,0.0,2,2.0
369,34,70.22291857478864,0.0,0.0,2.0,0.0,2,2.0
370,35,70.84041310525005,0.0,1.0,1.5,35.420206552625025,2,2.0
371,36,73.98893832224007,0.0,1.0,1.0,36.99446916112004,2,2.0
372,37,73.15129536097268,0.0,1.0,0.5,36.57564768048634,2,2.0
373,38,72.17791326924126,0.0,1.0,0.0,36.08895663462063,2,2.0
374,39,68.93066183125707,0.0,0.0,0.0,0.0,2,2.0
375,40,66.11694457748219,0.0,0.0,0.0,0.0,2,2.0
376,41,60.748418619976576,0.0,0.0,0.0,0.0,2,2.0
377,42,57.03670649797567,0.0,0.0,0.0,0.0,2,2.0
378,43,52.45951135652108,0.0,0.0,0.0,0.0,2,2.0
379,44,47.896367063165115,0.0,0.0,0.0,0.0,2,2.0
380,45,42.84136548186204,0.0,0.0,0.0,0.0,2,2.0
381,46,39.26490690791493,0.0,0.0,0.0,0.0,2,2.0
382,47,35.586438334208616,0.0,0.0,0.0,0.0,2,2.0
383,48,33.3381252567242,0.0,0.0,0.0,0.0,2,2.0
384,1,76.48193171996765,1.0,0.0,0.5,-38.240965859983824,2,4.0
385,2,77.36440568923669,0.0,1.0,0.0,38.682202844618345,2,4.0
386,3,75.60947094779715,0.0,0.0,0.0,0.0,2,4.0
387,4,73.71148673248487,0.0,0.0,0.0,0.0,2,4.0
388,5,71.61622523961535,1.0,0.0,0.5,-35.80811261980767,2,4.0
389,6,71.61622523961535,0.0,0.0,0.5,0.0,2,4.0
390,7,68.62499546446934,1.0,0.0,1.0,-34.31249773223467,2,4.0
